page,metric,before,after,change,lower_is_better,note
"Homepage","Time to first byte","152ms","47ms","−69%",yes,""
"Homepage","First contentful paint","424ms","352ms","−17%",yes,""
"Homepage","Largest contentful paint","768ms","352ms","−54%",yes,""
"Homepage","Load complete","1,223ms","1,117ms","−9%",yes,""
"Homepage","Cumulative layout shift","0.0067","0.0042","−38%",yes,""
"Homepage","Page weight transferred","6.95MB","1.83MB","−74%",yes,""
"Homepage","Requests","216","214","−1%",yes,""
"Homepage","Loaded from other hosts","6.28MB","423KB","−93%",yes,"Other hosts includes Shopify’s own CDN, which is where the hero video was served from — so most of this line is the 5.6MB video, not tracking scripts."
"Homepage","DOM elements","1,135","1,745","+54%",yes,"The old homepage had four sections. The new one has nine, so it is a bigger document by design — the weight went down anyway."
"Homepage","Deepest nesting level","18","16","−11%",yes,""
"Homepage","Full page height","6,336px","10,718px","+69%",informational,"Longer on purpose: the collection rows, the stat deck, Meet Your Baker and the reviews all live on the homepage now."
"Product page","Time to first byte","150ms","53ms","−65%",yes,""
"Product page","First contentful paint","488ms","352ms","−28%",yes,""
"Product page","Largest contentful paint","1,172ms","352ms","−70%",yes,""
"Product page","Load complete","1,745ms","1,398ms","−20%",yes,""
"Product page","Cumulative layout shift","0.0753","0.0118","−84%",yes,""
"Product page","Page weight transferred","1.91MB","2.01MB","+5%",yes,"Heavier, and on purpose. Scripts dropped, but the gallery serves larger photographs and the page now carries a working reviews widget it did not have at all before."
"Product page","Requests","309","283","−8%",yes,""
"Product page","Loaded from other hosts","765KB","676KB","−12%",yes,""
"Product page","DOM elements","2,021","643","−68%",yes,""
"Product page","Deepest nesting level","23","17","−26%",yes,""
"Product page","Full page height","3,431px","2,783px","−19%",informational,""
"Meet Your Baker","Time to first byte","150ms","54ms","−64%",yes,""
"Meet Your Baker","First contentful paint","392ms","352ms","−10%",yes,""
"Meet Your Baker","Largest contentful paint","604ms","368ms","−39%",yes,""
"Meet Your Baker","Load complete","1,048ms","828ms","−21%",yes,""
"Meet Your Baker","Cumulative layout shift","0.0033","0.0004","−87%",yes,""
"Meet Your Baker","Page weight transferred","1.06MB","886KB","−18%",yes,""
"Meet Your Baker","Requests","199","179","−10%",yes,""
"Meet Your Baker","Loaded from other hosts","412KB","203KB","−51%",yes,""
"Meet Your Baker","DOM elements","510","365","−28%",yes,""
"Meet Your Baker","Deepest nesting level","12","10","−17%",yes,""
"Meet Your Baker","Full page height","2,358px","2,485px","+5%",informational,""
"Contact","Time to first byte","152ms","50ms","−67%",yes,""
"Contact","First contentful paint","444ms","356ms","−20%",yes,""
"Contact","Largest contentful paint","480ms","356ms","−26%",yes,""
"Contact","Load complete","1,028ms","1,119ms","+9%",yes,"Slower, and the only page where that is true. The embedded map costs more than the removed scripts saved. It buys a shopper who can see where the bakery is; paint is still 20% faster, so the page is usable sooner even though it finishes later."
"Contact","Cumulative layout shift","0.0012","0.0005","−58%",yes,""
"Contact","Page weight transferred","969KB","808KB","−17%",yes,""
"Contact","Requests","194","179","−8%",yes,""
"Contact","Loaded from other hosts","412KB","203KB","−51%",yes,""
"Contact","DOM elements","528","375","−29%",yes,""
"Contact","Deepest nesting level","12","10","−17%",yes,""
"Contact","Full page height","1,449px","1,987px","+37%",informational,"Longer because the page gained a form worth filling in: phone, subject and a message field, plus the map."
